# SLAM - pose_x pose_y orientation time
68 0.0014996062608867988 0.7865059920850859
70 0.1071523988041658 0.8936583908892517
71 0.01599525701839255 0.9096536479076442
76 0 0.9096536479076442


# Distance slam gt
0 0.005172235820744602 0.9096536479076442
5 0.014962352155182277 0.9096536479076442
10 0.024194731209271295 0.9096536479076442
17 0.004738241382852275 0.9096536479076442
21 0.09781438078041405 0.9096536479076442
23 0.1095282683260761 0.9096536479076442
25 0.12189578587031996 0.9096536479076442
26 0.2227368075283046 0.9096536479076442
30 0.308300785333561 0.9096536479076442
31 0.3293276770586323 0.9096536479076442
35 0.381684559113362 0.9096536479076442
39 0.391813231376943 0.9096536479076442
40 0.42831580908396977 0.9096536479076442
44 0.4042337481330866 0.9096536479076442
46 0.38933141542640914 0.9096536479076442
48 0.26930279966835874 0.9096536479076442
52 0.25797473435823093 0.9096536479076442
53 0.19054971119704225 0.9096536479076442
57 0.21748626076798483 0.9096536479076442
59 0.2081431042903975 0.9096536479076442
62 0.3732531799380148 0.9096536479076442
